t_Ga,reservoir,ratio,model,literature,abs_diff,rel_error_pct
0.8,mantle,206/204,16.882044,16.88,0.002044,0.0121
0.8,mantle,207/204,15.331713,15.33,0.001713,0.0112
0.8,mantle,208/204,36.366372,36.37,-0.003628,0.01
0.8,orogene,206/204,17.624217,17.62,0.004217,0.0239
0.8,orogene,207/204,15.583541,15.58,0.003541,0.0227
0.8,orogene,208/204,37.338187,37.34,-0.001813,0.0049
0.8,upper,206/204,18.038377,18.04,-0.001623,0.009
0.8,upper,207/204,15.710539,15.71,0.000539,0.0034
0.8,upper,208/204,37.551727,37.55,0.001727,0.0046
0.8,lower,206/204,16.060176,16.06,0.000176,0.0011
0.8,lower,207/204,15.125872,15.13,-0.004128,0.0273
0.8,lower,208/204,37.064698,37.06,0.004698,0.0127
0.4,mantle,206/204,17.497697,17.5,-0.002303,0.0132
0.4,mantle,207/204,15.381226,15.38,0.001226,0.008
0.4,mantle,208/204,37.029309,37.03,-0.000691,0.0019
0.4,orogene,206/204,18.274865,18.27,0.004865,0.0266
0.4,orogene,207/204,15.612516,15.61,0.002516,0.0161
0.4,orogene,208/204,38.091219,38.09,0.001219,0.0032
0.4,upper,206/204,18.713343,18.71,0.003343,0.0179
0.4,upper,207/204,15.726786,15.73,-0.003214,0.0204
0.4,upper,208/204,38.319466,38.32,-0.000534,0.0014
0.4,lower,206/204,16.690075,16.69,7.5e-05,0.0005
0.4,lower,207/204,15.223706,15.22,0.003706,0.0244
0.4,lower,208/204,37.819414,37.82,-0.000586,0.0015
0.0,mantle,206/204,18.07824,18.08,-0.00176,0.0097
0.0,mantle,207/204,15.415596,15.42,-0.004404,0.0286
0.0,mantle,208/204,37.680387,37.68,0.000387,0.001
0.0,orogene,206/204,18.878254,18.88,-0.001746,0.0092
0.0,orogene,207/204,15.626125,15.63,-0.003875,0.0248
0.0,orogene,208/204,38.824774,38.82,0.004774,0.0123
0.0,upper,206/204,19.333465,19.33,0.003465,0.0179
0.0,upper,207/204,15.727305,15.73,-0.002695,0.0171
0.0,upper,208/204,39.064807,39.06,0.004807,0.0123
0.0,lower,206/204,17.291051,17.29,0.001051,0.0061
0.0,lower,207/204,15.299146,15.3,-0.000854,0.0056
0.0,lower,208/204,38.557974,38.56,-0.002026,0.0053
