t_Ga,reservoir,ratio,model,literature,abs_diff,rel_error_pct
0.0,mantle,206/204,18.472737,18.473,-0.000263,0.0014
0.0,mantle,207/204,15.48221,15.482,0.00021,0.0014
0.0,mantle,208/204,37.729493,37.729,0.000493,0.0013
0.0,mantle,238U/204Pb,10.0059,10.006,-0.0001,0.001
0.0,mantle,232Th/238U,2.727612,2.7276,1.2e-05,0.0005
0.0,mantle,232Th/204Pb,27.292216,27.29188,0.000336,0.0012
0.0,upper,206/204,19.325026,19.325,2.6e-05,0.0001
0.0,upper,207/204,15.726831,15.727,-0.000169,0.0011
0.0,upper,208/204,39.070848,39.071,-0.000152,0.0004
0.0,upper,238U/204Pb,11.077046,11.077,4.6e-05,0.0004
0.0,upper,232Th/238U,3.88334,3.8833,4e-05,0.001
0.0,upper,232Th/204Pb,43.015934,43.016,-6.6e-05,0.0002
0.0,lower,206/204,17.623175,17.623,0.000175,0.001
0.0,lower,207/204,15.351051,15.351,5.1e-05,0.0003
0.0,lower,208/204,38.752965,38.753,-3.5e-05,0.0001
0.0,lower,238U/204Pb,6.490333,6.4903,3.3e-05,0.0005
0.0,lower,232Th/238U,6.051719,6.0518,-8.1e-05,0.0013
0.0,lower,232Th/204Pb,39.277666,39.278,-0.000334,0.0009
0.0,sub,206/204,18.31797,18.318,-3e-05,0.0002
0.0,sub,207/204,15.109975,15.11,-2.5e-05,0.0002
0.0,sub,208/204,38.100994,38.101,-6e-06,0.0
0.0,sub,238U/204Pb,9.126625,9.1292,-0.002575,0.0282
0.0,sub,232Th/238U,3.892122,3.8932,-0.001078,0.0277
0.0,sub,232Th/204Pb,35.521934,35.512,0.009934,0.028
