t_Ga,reservoir,ratio,model,literature,abs_diff,rel_error_pct
0.0,mantle,207/204,15.241295,15.44,-0.198705,1.287
0.0,mantle,208/204,37.397532,37.88,-0.482468,1.2737
0.0,lower,206/204,17.25483,17.1,0.15483,0.9054
0.0,lower,207/204,15.334986,15.27,0.064986,0.4256
0.0,lower,208/204,38.445312,38.14,0.305312,0.8005
0.0,upper,206/204,20.419988,19.86,0.559988,2.8197
0.0,upper,207/204,16.000621,15.75,0.250621,1.5912
0.0,upper,208/204,40.216212,39.83,0.386212,0.9697
0.0,mantle,238U/204Pb,8.237735,8.44,-0.202265,2.3965
0.0,lower,238U/204Pb,5.87208,5.63,0.24208,4.2998
0.0,upper,238U/204Pb,15.451525,14.98,0.471525,3.1477
0.0,mantle,Th/U,3.626173,3.6,0.026173,0.727
0.0,lower,Th/U,5.429731,5.48,-0.050269,0.9173
0.0,upper,Th/U,3.386276,3.47,-0.083724,2.4128
